match_id,period,goal_time
3754245,2,53
3754136,1,37
3754136,2,60
3754037,1,6
3754037,1,8
3754037,2,63
3754039,1,15
3754039,1,44
3754039,2,81
3754041,1,4
3754041,2,77
3754041,2,79
3754041,2,91
3754042,1,12
3754042,1,22
3754043,1,0
3754043,1,15
3754043,2,51
3754049,2,88
3754050,1,35
3754050,2,60
3754050,2,66
3754050,2,89
3754052,2,49
3754053,1,44
3754053,2,47
3754055,1,31
3754055,2,91
3754226,2,45
3754014,1,18
3754014,1,25
3754091,1,42
3754091,2,68
3754135,1,6
3754135,1,14
3754293,2,52
3754339,1,31
3754339,2,75
3754339,2,82
3754146,1,12
3754146,1,19
3754146,2,50
3754146,2,68
3754255,1,20
3754255,1,29
3754255,2,72
3754255,2,95
3754278,1,27
3754278,1,44
3753979,2,79
3753972,1,9
3753972,1,25
3753972,1,27
3753972,1,38
3753978,1,10
3753978,2,60
3753978,2,82
3753978,2,53
3753974,2,92
3753993,1,25
3753993,1,36
3753993,2,56
3753993,2,87
3753983,2,48
3753983,2,67
3753983,2,72
3754038,1,29
3754038,1,42
3754001,1,41
3754001,2,59
3754001,2,78
3754001,2,85
3754007,1,47
3754008,1,48
3754008,2,45
3754008,2,89
3754029,1,2
3754029,1,45
3754029,2,78
3754029,2,92
3753995,1,9
3753995,1,42
3753995,2,59
3753995,2,71
3753999,2,61
3753999,2,67
3753999,2,73
3754017,2,61
3754017,2,67
3754017,2,86
3754006,1,29
3754006,2,56
3754006,2,63
3754006,2,76
3754006,2,83
3754023,1,23
3754023,2,85
3753984,1,2
3753984,1,28
3753984,2,91
3754011,1,12
3754011,1,33
3754011,2,49
3754011,2,67
3754011,2,85
3754010,1,9
3754010,1,27
3754010,2,61
3754028,1,8
3754028,1,19
3754028,2,48
3754028,2,68
3753996,2,63
3754025,1,4
3754025,1,12
3754025,2,49
3754025,2,51
3754068,1,38
3754056,1,15
3754056,1,21
3754056,1,44
3754056,2,63
3754056,2,70
3754056,2,79
3754056,2,90
3754040,2,47
3754040,2,60
3754074,1,14
3754074,1,26
3754074,2,64
3754074,1,30
3754076,1,9
3754076,1,21
3754076,1,45
3754076,2,59
3754067,1,21
3754067,1,24
3754067,2,87
3754067,2,93
3754079,1,16
3754079,1,41
3754079,2,48
3754079,2,49
3754079,2,52
3754079,2,59
3754079,2,61
3754083,2,64
3754083,2,78
3754083,2,80
3754077,1,5
3754077,1,30
3754077,1,46
3754060,1,40
3754060,1,45
3754073,2,81
3754085,1,4
3754085,1,21
3754085,2,66
3754047,2,61
3754051,1,2
3754051,1,14
3754051,2,84
3754046,2,75
3754046,2,80
3754072,1,3
3754082,1,18
3754082,1,30
3754082,1,48
3754082,2,49
3754082,2,59
3754082,2,61
3754082,2,75
3754082,2,54
3754106,1,38
3754106,2,62
3754106,2,71
3754106,2,81
3754106,2,88
3754099,2,67
3754099,2,88
3754098,1,3
3754098,1,47
3754098,2,73
3754098,2,82
3754057,1,25
3754057,1,41
3754057,2,79
3754112,1,23
3754112,1,41
3754112,2,47
3754112,2,78
3754117,1,7
3754117,1,37
3754104,1,10
3754104,1,27
3754054,1,11
3754054,1,16
3754054,1,21
3754054,2,53
3754054,2,58
3754113,1,43
3754113,2,72
3754107,1,28
3754105,1,40
3754105,2,53
3754105,2,54
3754105,2,74
3754105,2,83
3754097,1,21
3754102,1,13
3754102,1,19
3754102,1,25
3754102,1,32
3754102,1,33
3754102,2,63
3754102,2,65
3754102,2,84
3754115,1,33
3754115,2,53
3754148,2,81
3754169,1,3
3754169,1,8
3754174,1,12
3754174,1,17
3754174,1,32
3754174,2,56
3754174,2,80
3754174,2,88
3754174,2,92
3754185,1,10
3754185,2,86
3754185,2,89
3754162,1,1
3754162,1,23
3754162,2,53
3754171,1,5
3754171,1,6
3754171,1,19
3754119,1,47
3754119,2,64
3754119,2,85
3754126,1,35
3754126,1,37
3754126,1,43
3754133,2,45
3754167,2,66
3754167,2,82
3754167,2,88
3754145,1,8
3754145,1,23
3754145,2,58
3754153,1,45
3754153,2,75
3754153,2,87
3754143,2,92
3754143,2,68
3754186,1,23
3754186,1,45
3754130,1,23
3754130,2,86
3754188,1,39
3754188,1,42
3754178,1,16
3754178,1,40
3754178,2,84
3754178,2,88
3754178,2,68
3754157,1,24
3754157,1,35
3754157,2,79
3754157,2,86
3754157,2,94
3754157,2,97
3754166,1,26
3754166,1,31
3754166,2,64
3754166,2,68
3754166,2,88
3754211,1,45
3754211,2,61
3754211,2,82
3754150,2,81
3754150,2,83
3754160,1,32
3754160,2,62
3754160,2,92
3754160,1,44
3754218,1,37
3754217,2,52
3754217,2,90
3754205,2,51
3754221,2,47
3754221,2,60
3754221,2,65
3754193,1,6
3754193,1,10
3754193,1,21
3754193,1,28
3754193,1,47
3754193,2,88
3754222,2,67
3754213,2,58
3754212,1,1
3754212,2,58
3754212,2,65
3754212,2,66
3754212,2,70
3754197,1,24
3754197,1,44
3754197,2,49
3754197,2,60
3754197,2,78
3754208,1,22
3754208,1,31
3754208,1,43
3754208,2,80
3754208,1,6
3754204,1,7
3754204,1,11
3754204,1,40
3754204,2,51
3754194,1,29
3754194,1,42
3754219,2,51
3754219,2,78
3754219,2,86
3754230,2,76
3754230,2,85
3754285,1,46
3754285,2,61
3754233,2,59
3754233,2,87
3754270,1,18
3754270,1,46
3754270,2,77
3754270,2,82
3754237,1,10
3754237,1,17
3754237,1,24
3754237,2,59
3754237,2,65
3754237,2,70
3754257,2,89
3754266,2,70
3754256,1,17
3754256,1,21
3754256,2,61
3754288,1,16
3754288,2,55
3754288,2,78
3754238,1,26
3754269,1,3
3754234,1,0
3754234,1,8
3754234,1,16
3754234,1,28
3754234,2,55
3754234,2,62
3754246,2,46
3754246,2,55
3754296,1,32
3754296,1,45
3754296,2,81
3754273,1,38
3754273,2,47
3754263,2,58
3754286,1,29
3754286,2,90
3754291,1,16
3754291,1,40
3754291,2,88
3754283,1,16
3754283,1,27
3754283,1,41
3754283,2,58
3754235,1,16
3754235,2,49
3754279,1,8
3754276,1,38
3754276,2,73
3754276,2,92
3754287,1,31
3754287,1,41
3754287,2,64
3754287,2,55
3754335,1,27
3754335,2,46
3754335,2,67
3754315,1,34
3754315,2,51
3754315,2,66
3754315,2,80
3754330,2,54
3754337,1,45
3754337,2,63
3754337,2,66
3754297,2,51
3754297,2,90
3754301,1,27
3754301,1,34
3754301,1,39
3754323,1,8
3754323,1,32
3754323,2,82
3754323,2,92
3754304,1,9
3754304,1,13
3754304,1,16
3754304,1,40
3754304,2,46
3754304,2,92
3754311,2,69
3754328,1,25
3754328,2,89
3754328,2,91
3754309,1,18
3754309,2,54
3754309,2,68
3754309,2,91
3754329,1,8
3754329,2,47
3754302,1,20
3754302,1,36
3754302,2,65
3754302,2,90
3754013,1,33
3754013,2,47
3754013,2,76
3754044,1,37
3754044,2,53
3754044,2,65
3754351,1,20
3754351,1,41
3754351,2,81
3754343,2,62
3754109,1,22
3754109,1,32
3754109,2,49
3754109,2,83
3754109,2,86
3754182,1,14
3754182,2,46
3754240,1,30
3754240,2,84
3754336,1,16
3754336,1,21
3754336,1,35
3754336,2,81
3754247,1,9
3754156,2,51
3754156,2,64
3754156,2,74
3754265,1,31
3754265,2,76
3754000,2,68
3754003,2,48
3754003,2,69
3754003,2,83
3754003,2,85
3754344,1,8
3754344,2,51
3754131,1,10
3754131,1,27
3754131,2,47
3754131,2,52
3754131,2,65
3754131,2,78
3754131,2,81
3754300,1,12
3754300,2,75
3754300,2,82
3754300,2,85
3754312,1,15
3754312,1,27
3754312,2,54
3754138,1,37
3754138,2,48
3754138,2,68
3754138,2,93
3754203,1,26
3754203,1,37
3754203,2,54
3754190,2,70
3754190,2,86
3754190,2,76
3754066,1,31
3754066,2,77
3754066,2,82
3754034,1,21
3754034,1,44
3754034,2,83
3753985,2,85
3753987,2,80
3753987,2,81
3754180,1,47
3754180,2,61
3754059,1,19
3754059,1,29
3754059,1,34
3754059,1,41
3754059,2,58
3754064,1,16
3754064,1,21
3754064,2,63
3754064,2,82
3754064,2,85
3754065,2,82
3754173,1,26
3754173,2,62
3753973,1,16
3753973,1,47
3753973,2,60
3753973,2,88
3753975,1,12
3753975,1,45
3753976,1,14
3753976,1,31
3753976,2,73
3753977,1,17
3753977,2,50
3753977,2,85
3753980,1,6
3753980,1,41
3753981,2,57
3753982,1,37
3753986,1,7
3753986,1,21
3753986,1,31
3753986,2,49
3753986,2,64
3753988,1,36
3753988,1,38
3753988,2,49
3753988,2,61
3753988,2,77
3753989,1,37
3753989,1,41
3753989,2,54
3753991,1,33
3753991,1,40
3753991,2,56
3753992,1,15
3753992,1,30
3753992,2,71
3753994,1,42
3753994,2,60
3753994,2,63
3753994,2,74
3753994,2,86
3753997,2,57
3753997,2,84
3753998,2,68
3753998,2,78
3753998,1,12
3754002,1,24
3754004,1,9
3754004,2,53
3754004,2,74
3754005,2,79
3754009,1,45
3754009,2,81
3754012,1,41
3754012,2,74
3754012,2,88
3754016,1,3
3754016,1,37
3754016,2,54
3754016,2,64
3754018,1,19
3754018,1,32
3754018,2,64
3754018,2,66
3754021,1,16
3754021,2,66
3754021,2,74
3754021,2,83
3754022,2,67
3754024,1,40
3754024,2,81
3754024,2,88
3754026,1,25
3754026,2,46
3754026,2,67
3754027,1,39
3754027,1,41
3754027,2,59
3754027,2,66
3754027,2,78
3754030,1,45
3754030,1,47
3754031,1,2
3754031,1,38
3754031,2,81
3754032,2,48
3754032,2,54
3754032,2,66
3754032,2,77
3754033,1,4
3754033,1,32
3754033,2,64
3754033,2,87
3754035,1,5
3754035,1,18
3754035,2,65
3754036,2,62
3754036,2,71
3754036,2,91
3754036,1,29
3754061,1,38
3754061,2,84
3754062,1,19
3754062,1,32
3754062,2,84
3754062,2,72
3754063,1,27
3754063,1,46
3754063,2,47
3754063,2,89
3754063,2,92
3754069,2,71
3754071,1,2
3754071,1,20
3754071,1,39
3754071,2,60
3754071,2,84
3754071,2,48
3754075,1,25
3754075,1,47
3754075,2,45
3754075,2,58
3754080,2,63
3754081,2,65
3754086,1,10
3754086,1,44
3754086,2,52
3754086,2,63
3754087,2,50
3754087,2,62
3754088,1,8
3754088,1,37
3754088,1,41
3754088,2,66
3754088,2,78
3754088,2,89
3754089,1,25
3754089,1,30
3754089,2,56
3754092,1,34
3754092,1,43
3754092,2,57
3754092,2,82
3754094,1,13
3754094,1,22
3754094,2,52
3754095,1,15
3754100,1,43
3754100,2,82
3754101,2,75
3754108,1,13
3754108,1,40
3754108,1,47
3754108,2,66
3754108,2,69
3754110,1,0
3754110,1,8
3754110,2,55
3754110,2,80
3754111,1,22
3754114,1,28
3754114,2,59
3754114,2,65
3754116,1,24
3754118,1,3
3754118,1,37
3754118,2,47
3754118,2,89
3754120,1,8
3754122,2,59
3754122,2,80
3754122,2,91
3754123,1,18
3754123,1,43
3754123,2,47
3754124,1,15
3754125,2,55
3754125,2,63
3754125,2,65
3754125,2,89
3754125,2,97
3754125,2,49
3754127,1,10
3754127,1,27
3754127,1,41
3754132,2,49
3754132,2,93
3754134,1,9
3754134,2,50
3754134,2,71
3754134,2,75
3754134,2,79
3754137,2,67
3754137,2,75
3754139,2,68
3754140,1,21
3754140,1,45
3754144,1,6
3754144,1,11
3754144,1,18
3754144,2,92
3754147,2,52
3754147,2,73
3754147,2,82
3754149,1,4
3754149,1,45
3754151,2,60
3754152,2,65
3754152,2,94
3754154,1,1
3754154,1,29
3754154,2,47
3754154,2,65
3754155,1,26
3754158,1,24
3754158,1,30
3754158,2,50
3754158,2,92
3754158,2,67
3754159,1,42
3754159,2,73
3754159,2,86
3754159,2,92
3754161,1,26
3754163,1,16
3754163,1,33
3754163,1,25
3754164,2,84
3754164,2,92
3754165,1,7
3754165,1,16
3754168,1,4
3754168,1,34
3754168,2,71
3754170,2,57
3754172,1,40
3754172,2,52
3754172,2,90
3754176,1,14
3754176,1,17
3754176,1,40
3754176,2,74
3754177,2,69
3754177,2,79
3754177,2,91
3754177,1,27
3754179,2,62
3754179,2,83
3754179,2,94
3754179,1,29
3754181,1,33
3754183,1,15
3754183,2,72
3754184,2,58
3754187,1,8
3754187,2,66
3754187,2,70
3754187,2,81
3754191,1,30
3754191,1,35
3754192,1,33
3754192,1,46
3754192,2,78
3754195,2,77
3754196,1,10
3754196,1,29
3754196,2,51
3754199,1,22
3754199,2,54
3754199,2,87
3754200,2,86
3754206,1,13
3754206,1,30
3754207,1,10
3754207,1,14
3754207,1,17
3754207,2,50
3754207,2,56
3754207,1,36
3754209,2,69
3754209,2,73
3754209,2,75
3754210,2,71
3754214,1,15
3754214,1,24
3754214,2,57
3754214,2,62
3754214,2,64
3754214,2,70
3754215,1,14
3754215,1,38
3754216,1,40
3754216,1,46
3754216,2,92
3754220,2,47
3754220,2,71
3754220,2,95
3754224,2,52
3754225,1,14
3754225,2,81
3754227,1,17
3754227,2,83
3754227,2,85
3754227,2,94
3754228,1,9
3754228,1,29
3754228,2,59
3754228,2,84
3754229,2,65
3754229,2,81
3754231,1,10
3754231,1,45
3754231,2,49
3754231,1,30
3754232,2,82
3754236,1,11
3754236,1,19
3754236,1,30
3754236,2,48
3754236,2,79
3754239,1,28
3754239,1,31
3754239,1,39
3754239,2,64
3754239,2,68
3754241,1,17
3754241,1,34
3754241,1,43
3754241,1,46
3754241,2,51
3754241,2,69
3754242,1,4
3754242,1,33
3754242,1,35
3754242,2,70
3754242,2,90
3754243,1,46
3754243,2,70
3754243,2,73
3754243,2,85
3754243,2,92
3754244,2,53
3754244,2,64
3754244,2,73
3754244,2,75
3754249,2,47
3754249,2,49
3754249,2,59
3754249,2,65
3754250,1,27
3754250,2,74
3754251,1,9
3754251,2,54
3754252,1,22
3754252,2,87
3754252,2,93
3754253,1,22
3754253,1,23
3754260,1,21
3754260,1,40
3754260,2,67
3754260,2,83
3754261,1,44
3754261,2,69
3754261,2,94
3754262,1,46
3754262,2,73
3754262,2,84
3754264,1,4
3754264,1,8
3754264,1,16
3754264,2,58
3754264,2,82
3754264,2,89
3754295,1,31
3754271,2,45
3754271,2,57
3754271,2,70
3754272,1,12
3754272,2,52
3754272,2,67
3754272,2,78
3754274,1,8
3754274,2,51
3754274,2,54
3754274,2,56
3754275,2,59
3754275,2,70
3754277,1,12
3754277,2,55
3754277,2,77
3754277,2,80
3754277,2,89
3754280,1,0
3754280,1,45
3754280,2,67
3754281,2,60
3754281,2,90
3754282,1,14
3754282,1,38
3754282,1,45
3754282,2,70
3754282,2,84
3754282,2,93
3754284,1,5
3754284,1,37
3754289,2,55
3754290,1,2
3754290,2,47
3754290,2,59
3754290,2,86
3754292,1,31
3754294,1,42
3754294,1,46
3754294,2,60
3754294,2,75
3754299,2,53
3754303,1,12
3754303,2,46
3754305,1,9
3754305,1,13
3754305,1,18
3754305,1,24
3754305,2,54
3754305,2,89
3754306,1,44
3754306,2,50
3754307,1,34
3754307,1,42
3754307,2,63
3754307,2,73
3754308,1,38
3754308,2,47
3754308,2,50
3754308,2,60
3754310,1,3
3754310,2,54
3754314,1,7
3754314,1,9
3754314,2,50
3754314,2,67
3754316,2,58
3754316,2,69
3754316,2,81
3754316,2,88
3754317,1,1
3754317,1,29
3754317,2,89
3754318,1,38
3754318,2,59
3754318,2,61
3754318,2,75
3754319,2,46
3754319,2,69
3754319,2,76
3754320,1,24
3754320,1,27
3754320,1,43
3754320,2,56
3754320,2,67
3754320,2,77
3754321,2,50
3754321,2,55
3754321,2,78
3754322,1,32
3754322,2,53
3754322,2,79
3754324,1,18
3754324,2,69
3754324,2,76
3754327,1,4
3754327,1,29
3754327,2,59
3754327,2,78
3754331,1,29
3754332,2,72
3754332,1,32
3754333,1,18
3754333,1,38
3754333,2,59
3754333,2,72
3754333,2,83
3754333,2,85
3754334,1,30
3754334,2,78
3754338,1,5
3754338,1,14
3754338,2,48
3754340,2,63
3754340,2,91
3754341,1,41
3754341,2,65
3754341,2,86
3754342,1,34
3754342,2,75
3754345,2,77
3754346,2,81
3754346,2,83
3754346,2,54
3754348,1,17
3754348,1,28
3754348,1,40
3754348,2,53
3754348,2,54
3754348,2,62
3754348,2,74
3754348,2,91
3754348,2,94
3754349,1,6
3754350,1,13
3754020,1,25
3754141,1,42
3754141,2,56
3754128,2,71
3754078,1,22
3754078,1,28
3754078,2,54
3754078,1,29
